chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr9	16650000	16655000	chr9	16865000	16870000	0,0,0	4.1572404	0.9978915	1.9958463	3.2899418	3.3611398	3.2380314	1.1505414	6.162424
chr9	19070000	19075000	chr9	19455000	19460000	0,0,0	3.6196275	0.98873687	2.399109	1.5188072	1.6044809	3.1366358	0.58391416	4.4866867
chr9	77820000	77825000	chr9	79320000	79325000	0,0,0	3.4462457	0.99612355	1.6005663	2.9769506	3.1587143	2.9072387	1.4488103	5.553417
chr9	123505000	123510000	chr9	124160000	124165000	0,0,0	3.1111002	0.9820616	1.5558581	2.03225	2.1248393	2.2147858	0.8676403	4.02123
chr9	134055000	134060000	chr9	134205000	134210000	0,0,0	3.078449	0.99311155	2.0590312	1.2066698	1.972585	3.9058316	0.580536	4.978427
chr9	16665000	16670000	chr9	17465000	17470000	0,0,0	4.006365	0.99600995	1.8770875	3.0209148	3.0772536	2.8392596	1.3954656	5.524517
chr9	112335000	112340000	chr9	112915000	112920000	0,0,0	4.011179	0.9974181	2.092085	2.5394976	3.1855838	3.7025251	1.149745	5.9598565
chr9	100835000	100840000	chr9	101035000	101040000	0,0,0	3.3591828	0.98454076	2.2104187	1.2249057	1.6157315	3.0811741	0.78071904	4.169979
chr9	99620000	99625000	chr9	99875000	99880000	0,0,0	2.434435	0.9791595	1.4885982	1.3305986	1.6848212	2.6885042	0.7307205	3.8712585
chr9	72035000	72040000	chr9	72540000	72545000	0,0,0	4.9981165	0.99991184	2.9160774	2.8647003	4.644977	6.7906566	1.5169579	9.337057
chr9	74650000	74655000	chr9	75435000	75440000	0,0,0	4.259369	0.9995786	2.2186768	3.832565	3.9024303	4.366026	1.6014996	7.7727504
chr9	126300000	126305000	chr9	126795000	126800000	0,0,0	3.1009588	0.98977965	1.803251	2.2632074	3.1932251	4.602317	1.111158	6.614057
chr9	85950000	85955000	chr9	86155000	86160000	0,0,0	2.2456481	0.9643407	1.6969594	0.426861	1.0594327	2.9546592	0.22767863	3.3340912
chr9	21810000	21815000	chr9	22005000	22010000	0,0,0	3.5803041	0.9793618	2.0309894	1.5316209	1.8583155	2.5195718	0.5136046	3.8810124
chr9	92505000	92510000	chr9	92690000	92695000	0,0,0	5.5967016	1.0	3.9474404	0.8539364	0.8895675	2.1002164	0.39138925	2.8592708
chr9	77380000	77385000	chr9	77805000	77810000	0,0,0	3.2810588	0.97266436	2.001847	1.3187711	1.5336384	2.4276958	0.7348208	3.5999367
chr9	12700000	12705000	chr9	13080000	13085000	0,0,0	4.4341774	0.9964466	2.611348	2.399204	2.4233756	3.5078108	1.0361116	5.6404366
chr9	86455000	86460000	chr9	86875000	86880000	0,0,0	3.2307758	0.9946324	1.7498085	1.7783468	2.8552713	3.647165	1.0524235	5.2279177
chr9	14625000	14630000	chr9	15140000	15145000	0,0,0	3.2362828	0.980658	1.8257431	1.631685	1.8713784	2.495499	0.9542776	3.9458854
chr9	13420000	13425000	chr9	14420000	14425000	0,0,0	2.8903425	0.990585	1.7624649	2.5318668	2.8243744	4.457919	1.4738094	6.7084675
chr9	32585000	32590000	chr9	32965000	32970000	0,0,0	4.982185	0.99977297	3.1837728	2.548507	3.4584825	6.1258373	1.0538596	8.391176
chr9	124885000	124890000	chr9	125575000	125580000	0,0,0	4.786163	0.999044	2.447096	3.2238863	3.6978638	4.0878243	1.273002	6.953501
chr9	114850000	114855000	chr9	115120000	115125000	0,0,0	4.1046896	0.99686617	2.9251685	1.3356757	1.9211318	4.578825	0.7466907	5.766092
chr9	129980000	129985000	chr9	130160000	130165000	0,0,0	2.7700753	0.98289955	2.1866393	0.60920894	1.0345083	3.5275521	0.6166997	4.0690713
chr9	102025000	102030000	chr9	102770000	102775000	0,0,0	2.6070545	0.9865047	1.5734469	2.2507663	2.772973	4.2922935	1.0784303	6.2929745
chr9	97440000	97445000	chr9	97885000	97890000	0,0,0	2.9992368	0.99690175	2.1298547	1.1625674	2.0354557	4.744116	0.76373816	5.777509
chr9	33400000	33405000	chr9	33455000	33460000	0,0,0	2.0594242	0.96946996	1.4658607	0.96312845	1.0898579	2.6332922	0.6063513	3.4894063
chr9	78485000	78490000	chr9	78905000	78910000	0,0,0	2.7268488	0.98245436	1.9507939	0.9586637	1.3186896	3.191224	0.71383476	4.04337
chr9	107690000	107695000	chr9	107915000	107920000	0,0,0	1.9222492	0.95315355	1.3927443	0.80201054	0.9165589	2.3482993	0.36919695	3.0611975
chr9	90110000	90115000	chr9	90275000	90280000	0,0,0	2.5609975	0.9564246	1.6481018	0.93624115	1.2771938	2.3013728	0.3405456	3.133587
chr9	87310000	87315000	chr9	87870000	87875000	0,0,0	3.1319754	0.9975415	1.696882	2.4564648	3.073778	3.8253016	0.8859784	6.008826
chr9	13435000	13440000	chr9	14355000	14360000	0,0,0	2.7823033	0.978713	1.6302772	2.133127	2.660901	3.865388	1.5391555	5.7615004
chr9	87010000	87015000	chr9	87870000	87875000	0,0,0	3.7547395	0.99939924	2.2687087	2.68337	3.245667	5.0329056	1.3737898	7.4181232
chr9	137100000	137105000	chr9	137325000	137330000	0,0,0	5.050833	1.0	2.9269545	1.8288555	2.0904872	2.9478166	0.9927473	4.573466
chr9	136395000	136400000	chr9	136590000	136595000	0,0,0	4.924884	0.9942298	3.0318503	1.5627184	2.3150632	3.7664998	0.7230693	5.155583
chr9	12735000	12740000	chr9	12820000	12825000	0,0,0	2.2227848	0.9581942	1.3482252	1.0793401	1.4122522	2.2156363	0.52322763	3.1750498
chr9	14210000	14215000	chr9	14320000	14325000	0,0,0	4.013777	0.99316764	2.0870762	1.6062497	2.9369967	3.5588243	0.8202209	4.986602
chr9	95050000	95055000	chr9	95395000	95400000	0,0,0	3.074099	0.9940869	2.3326137	1.0198277	1.423908	4.224602	0.6230366	5.131116
chr9	89490000	89495000	chr9	89755000	89760000	0,0,0	2.0421345	0.93509036	1.3824207	0.81391096	0.9736054	2.0115664	0.47439817	2.7350428
chr9	27025000	27030000	chr9	27270000	27275000	0,0,0	3.5778031	0.9895959	2.2963493	1.6508584	1.7298882	3.098597	0.78543997	4.5660267
chr9	114520000	114525000	chr9	114835000	114840000	0,0,0	5.784626	0.99990445	3.4233634	2.783821	4.512158	6.782324	1.4592917	9.256832
chr9	128995000	129000000	chr9	129155000	129160000	0,0,0	2.145432	0.95581746	1.4326447	1.0680301	1.0854993	2.170389	0.49919954	3.119749
chr9	140565000	140570000	chr9	141025000	141030000	0,0,0	3.312253	0.99111766	1.4949687	3.1180108	4.2493215	4.003783	1.2945628	6.7753487
chr9	87875000	87880000	chr9	88225000	88230000	0,0,0	2.6416292	0.9479195	1.63605	1.0025756	1.2564809	2.0640929	0.5895052	2.955271
chr9	113600000	113605000	chr9	114055000	114060000	0,0,0	2.7333443	0.98319024	1.7698175	1.2623854	1.6194746	2.9640996	0.5686658	4.08622
chr9	94895000	94900000	chr9	95395000	95400000	0,0,0	4.7204914	0.9993059	3.0784435	1.8050107	3.0509129	5.669224	1.076724	7.2736773
chr9	132655000	132660000	chr9	132815000	132820000	0,0,0	2.2387018	0.9832512	1.5593587	1.1760894	1.3511473	3.0444415	0.5678544	4.0898542
chr9	2860000	2865000	chr9	3460000	3465000	0,0,0	4.505479	0.99858105	2.3716235	2.759709	3.47359	4.105448	1.094014	6.5585227
chr9	136060000	136065000	chr9	136195000	136200000	0,0,0	3.658202	0.9937276	2.3649573	1.2219838	2.1907203	3.9859233	0.62754804	5.0721307
chr9	87025000	87030000	chr9	88205000	88210000	0,0,0	2.7416995	0.9851826	1.4973974	2.8285105	2.9713774	3.6702907	1.2431338	6.1845226
chr9	19930000	19935000	chr9	21105000	21110000	0,0,0	2.937304	0.9915819	1.798133	2.0104344	3.1378417	5.0498753	1.1893181	6.8369284
chr9	88430000	88435000	chr9	88885000	88890000	0,0,0	3.266264	0.99118596	2.1823792	1.2050397	1.8509887	3.6607547	0.89632374	4.731901
chr9	123425000	123430000	chr9	123955000	123960000	0,0,0	2.7535	0.99162644	1.6004409	1.660162	2.299616	3.30747	1.0570824	4.7831697
chr9	21810000	21815000	chr9	22445000	22450000	0,0,0	4.3330593	0.9932153	2.8369884	1.2176546	2.0851374	3.9112482	0.6825174	4.9936075
chr9	128515000	128520000	chr9	128655000	128660000	0,0,0	10.108031	0.9999822	6.507792	2.7551818	4.7093177	8.488293	1.462716	10.937345
chr9	127525000	127530000	chr9	128515000	128520000	0,0,0	6.119205	1.0	3.3192337	2.6295617	3.0351193	3.7467723	0.9733677	6.084161
chr9	16570000	16575000	chr9	16650000	16655000	0,0,0	3.7763355	0.9912504	1.8943478	1.9152883	2.7327647	3.0367563	0.79741675	4.739235
chr9	3515000	3520000	chr9	4360000	4365000	0,0,0	3.360568	0.997954	1.6335186	3.1648443	3.3901246	3.3793156	1.2730803	6.1925106
chr9	88040000	88045000	chr9	88220000	88225000	0,0,0	2.1904464	0.93373954	1.4730597	0.9120345	0.93304414	1.9037459	0.39492545	2.7144432
chr9	137355000	137360000	chr9	137560000	137565000	0,0,0	3.1107318	0.98283726	1.7805876	1.37107	2.0306747	2.8467064	0.8060084	4.0654354
chr9	13430000	13435000	chr9	13970000	13975000	0,0,0	2.6125472	0.99246	1.5024427	2.1131063	2.188743	3.009722	1.0418833	4.8880386
chr9	87310000	87315000	chr9	87565000	87570000	0,0,0	2.9957883	0.987667	1.9161123	1.4138494	1.7685215	3.1391792	0.5363476	4.395934
chr9	36865000	36870000	chr9	36990000	36995000	0,0,0	2.8639534	0.9872455	1.9326861	0.71201694	1.8603826	3.7294214	0.5432456	4.362325
chr9	73245000	73250000	chr9	73535000	73540000	0,0,0	4.061339	0.99458104	2.1426582	2.4324093	2.635827	3.0562463	0.80039364	5.218388
chr9	101610000	101615000	chr9	101760000	101765000	0,0,0	3.4640317	0.9908645	1.972663	1.7330791	2.292521	3.1555583	0.5751359	4.696073
chr9	16570000	16575000	chr9	16950000	16955000	0,0,0	3.0980117	0.9848051	1.8109423	1.5397682	1.9482183	2.8185475	0.794128	4.18723
chr9	35785000	35790000	chr9	35880000	35885000	0,0,0	2.7455707	0.9864373	1.6626688	1.3729746	1.96405	3.0804594	0.59822434	4.3008814
chr9	33080000	33085000	chr9	33225000	33230000	0,0,0	5.522298	0.999906	2.8972232	3.8215494	4.9771132	5.876578	1.6269166	9.273511
chr9	129265000	129270000	chr9	129320000	129325000	0,0,0	2.6026387	0.9839107	1.6962956	1.2397571	1.6273736	3.0280218	0.5256033	4.130028
chr9	20535000	20540000	chr9	20600000	20605000	0,0,0	2.5058746	0.96222705	1.8525174	0.5241928	1.072721	2.8105524	0.37048894	3.2765017
chr9	91210000	91215000	chr9	91895000	91900000	0,0,0	3.4103105	0.98490053	1.8050138	1.9723849	2.0981412	2.4403005	1.1052188	4.1935315
chr9	98270000	98275000	chr9	98980000	98985000	0,0,0	3.3731558	0.9961848	1.6915553	2.4151063	3.1306596	3.4225879	0.98898274	5.569349
chr9	4750000	4755000	chr9	5600000	5605000	0,0,0	4.132499	0.99931484	2.2734325	3.119257	3.5622165	4.513915	1.219066	7.2865877
chr9	1455000	1460000	chr9	1620000	1625000	0,0,0	2.5259671	0.9715827	1.2720889	1.5619655	1.9810892	2.1727123	0.73376083	3.561126
chr9	137975000	137980000	chr9	138300000	138305000	0,0,0	3.8533616	0.99907	2.1911373	2.9169123	3.2468903	4.3882546	1.0738837	6.9810658
chr9	13905000	13910000	chr9	14320000	14325000	0,0,0	2.6758344	0.9775687	1.398052	1.8704585	1.8983623	2.1350605	1.0758172	3.7976904
chr9	113160000	113165000	chr9	114070000	114075000	0,0,0	3.1806011	0.99637127	1.4241006	2.8992424	3.3993833	3.0423422	1.5579199	5.6194468
chr9	97545000	97550000	chr9	97890000	97895000	0,0,0	3.176397	0.995636	1.8716184	1.8913332	2.5426507	3.753744	0.89663875	5.434929
chr9	84010000	84015000	chr9	84295000	84300000	0,0,0	2.9706328	1.0	1.840621	0.8792609	1.3163632	2.172832	0.45275787	2.9543974
chr9	16195000	16200000	chr9	16880000	16885000	0,0,0	2.8536222	0.99410224	1.3117495	2.515728	3.0762835	2.8975108	1.2267686	5.1337132
chr9	132875000	132880000	chr9	132995000	133000000	0,0,0	3.1486974	0.99215233	2.1367133	1.2002764	1.8344688	3.7811267	0.4981208	4.848039
chr9	86440000	86445000	chr9	86930000	86935000	0,0,0	3.2205186	0.9942971	1.926283	1.7711859	2.3590922	3.5929298	0.9656195	5.1673174
chr9	74650000	74655000	chr9	74885000	74890000	0,0,0	5.1624684	0.99620575	3.0126817	1.6176245	2.818546	4.1369514	0.9010947	5.5748396
chr9	77880000	77885000	chr9	78480000	78485000	0,0,0	3.0992422	0.99680513	1.7930902	2.4695647	2.549514	3.5516431	1.115849	5.746812
chr9	91360000	91365000	chr9	91615000	91620000	0,0,0	2.9260817	0.984507	1.5863203	1.778649	2.0924027	2.5867796	0.67186266	4.167801
chr9	4990000	4995000	chr9	5440000	5445000	0,0,0	3.1518345	0.99208546	1.6675951	1.9330838	2.5944088	3.1212568	0.8522038	4.8395534
chr9	20425000	20430000	chr9	20600000	20605000	0,0,0	3.916355	0.9950924	2.4700274	1.7170782	2.2098763	3.7912335	0.91411954	5.3175254
chr9	80645000	80650000	chr9	80850000	80855000	0,0,0	2.4572914	0.9365806	1.6253613	0.7099292	1.1041421	2.127223	0.37021646	2.7582712
chr9	136060000	136065000	chr9	136345000	136350000	0,0,0	2.7885797	0.97164106	1.7777191	0.9504261	1.5429959	2.7183583	0.50845414	3.5631816
chr9	112665000	112670000	chr9	112915000	112920000	0,0,0	3.7431774	0.9952552	2.7103078	1.1299715	1.7421929	4.346842	0.6977528	5.3512607
chr9	129275000	129280000	chr9	129545000	129550000	0,0,0	4.3850474	1.0	2.2898774	1.9637511	2.1157594	2.403652	1.0592756	4.1492085
chr9	78225000	78230000	chr9	78915000	78920000	0,0,0	2.6243505	0.9839424	1.597849	1.6137302	1.7184638	2.6975722	0.8027068	4.131999
chr9	33620000	33625000	chr9	33720000	33725000	0,0,0	5.9790683	0.9997539	3.4569237	2.6660566	4.14454	5.940751	1.375915	8.310579
chr9	92215000	92220000	chr9	92860000	92865000	0,0,0	7.764886	0.99999905	4.296637	5.3392496	8.994007	11.966396	2.6656175	16.712397
chr9	37480000	37485000	chr9	37780000	37785000	0,0,0	3.0170164	0.99020237	1.7761031	1.6281576	2.1589437	3.1788423	0.64271903	4.6260934
chr9	21995000	22000000	chr9	22120000	22125000	0,0,0	2.212806	0.946699	1.5746033	0.7491455	0.9467678	2.266197	0.30551586	2.932104
chr9	17060000	17065000	chr9	17450000	17455000	0,0,0	3.4396079	0.99507904	1.7705244	3.4733295	3.9112954	4.3616734	1.5320178	7.449078
chr9	113425000	113430000	chr9	113600000	113605000	0,0,0	2.9046228	0.9545869	1.5853212	1.0967538	1.6462091	2.1173835	0.63384223	3.0922759
chr9	80490000	80495000	chr9	80630000	80635000	0,0,0	4.378043	0.9973065	1.9335313	3.0736773	3.6258206	3.185383	1.1617701	5.9175406
chr9	36405000	36410000	chr9	36725000	36730000	0,0,0	2.4806054	0.9704409	1.7908843	0.86676073	1.0966212	2.7512755	0.5182687	3.5217297
chr9	19475000	19480000	chr9	19920000	19925000	0,0,0	4.482072	0.99776125	3.0033479	1.813752	2.238943	4.490243	0.8825714	6.102467
chr9	72955000	72960000	chr9	73220000	73225000	0,0,0	4.1909275	0.99510044	2.5993123	1.6474515	2.3326683	3.8547626	0.9153401	5.319164
chr9	20625000	20630000	chr9	21105000	21110000	0,0,0	5.135179	0.9973782	2.7323003	2.2803378	3.2060535	3.9175365	1.1986954	5.9445033
chr9	95770000	95775000	chr9	96065000	96070000	0,0,0	2.4036982	0.9572251	1.5329782	1.080911	1.2436593	2.1913204	0.507159	3.1521304
chr9	128170000	128175000	chr9	128510000	128515000	0,0,0	5.1040177	0.9986321	2.8263276	2.585657	3.305777	4.296774	1.0766197	6.5951357
chr9	90790000	90795000	chr9	91200000	91205000	0,0,0	2.378619	0.9731741	1.5282407	1.2865078	1.3782166	2.4751997	0.7950676	3.6187623
chr9	17815000	17820000	chr9	19020000	19025000	0,0,0	4.6497283	0.9939558	2.7382815	1.8207046	2.3714051	3.4907825	1.1289089	5.1091866
chr9	98075000	98080000	chr9	98260000	98265000	0,0,0	2.5695443	0.9623311	1.626754	1.0233968	1.3682891	2.3695745	0.5749912	3.2792606
chr9	87015000	87020000	chr9	87395000	87400000	0,0,0	2.5722826	0.97158355	1.7364613	1.1902074	1.2129265	2.5031939	0.60962623	3.561156
chr9	73890000	73895000	chr9	74440000	74445000	0,0,0	3.9306529	0.98905903	1.7363032	2.6057348	2.6361418	2.1994994	0.8854215	4.515708
chr9	123515000	123520000	chr9	123815000	123820000	0,0,0	3.1604774	0.994696	1.8016155	2.0155292	2.5123794	3.4482546	0.96263045	5.2398357
chr9	81215000	81220000	chr9	82055000	82060000	0,0,0	4.198289	0.9944	1.5819114	2.9884515	3.555191	2.529128	1.5927628	5.185529
chr9	112335000	112340000	chr9	112580000	112585000	0,0,0	2.7174764	0.98236483	1.7894293	1.1958995	1.556917	2.975257	0.652052	4.0382786
chr9	81870000	81875000	chr9	82185000	82190000	0,0,0	3.5901165	0.9925471	1.9024076	1.8662045	2.6658401	3.2408106	0.96229327	4.899659
chr9	375000	380000	chr9	610000	615000	0,0,0	2.8821778	0.9876092	1.8129162	1.6242033	1.7333925	2.94752	0.88133264	4.3912563
chr9	134630000	134635000	chr9	135135000	135140000	0,0,0	5.1167336	0.99977094	3.5233214	3.017683	3.7731898	8.173013	1.2005402	10.855398
chr9	101605000	101610000	chr9	101900000	101905000	0,0,0	3.869997	0.9940174	2.4794796	1.7195855	2.0143468	3.5909147	0.96558124	5.1194353
chr9	88665000	88670000	chr9	88860000	88865000	0,0,0	2.2291842	0.9780974	1.4159446	1.3075128	1.5246139	2.6593125	0.49767905	3.821546
chr9	85160000	85165000	chr9	85585000	85590000	0,0,0	2.2103548	0.96743137	1.3942547	1.2201967	1.3656497	2.3401415	0.7427846	3.4247606
chr9	91205000	91210000	chr9	91615000	91620000	0,0,0	5.5129013	0.9998442	2.6257038	3.8576162	5.245819	5.338653	1.3495219	8.767645
chr9	34550000	34555000	chr9	34585000	34590000	0,0,0	1.7727218	0.951275	1.2702236	0.8196407	0.92859405	2.293307	0.3263366	3.0218766
chr9	80370000	80375000	chr9	80735000	80740000	0,0,0	2.8659065	0.9702623	1.41287	1.7135043	1.928387	1.9925895	0.9050935	3.5157042
chr9	140345000	140350000	chr9	140400000	140405000	0,0,0	1.8063444	0.93617237	1.4032946	0.575739	0.6715397	2.2400866	0.41223103	2.7518544
chr9	114515000	114520000	chr9	115120000	115125000	0,0,0	3.4656467	0.99432874	2.433609	1.4821076	1.665874	3.8554459	0.91293824	5.172875
chr9	117165000	117170000	chr9	117410000	117415000	0,0,0	3.411269	0.9945959	2.4477835	1.031316	1.7885094	4.304407	1.1196762	5.2211328
chr9	84715000	84720000	chr9	85220000	85225000	0,0,0	2.4357548	0.9709312	1.4598649	1.3005049	1.5648865	2.3824515	0.7965599	3.5384557
chr9	128695000	128700000	chr9	129155000	129160000	0,0,0	3.0496445	0.98928785	1.6567451	2.1333294	2.171097	2.6405563	0.9043714	4.536849
chr9	133335000	133340000	chr9	133555000	133560000	0,0,0	7.1310363	0.9999545	3.6499424	3.99576	5.628909	6.4472613	1.5060904	9.999048
chr9	76295000	76300000	chr9	77210000	77215000	0,0,0	2.6903145	0.97681534	1.3074901	2.7804413	3.1563942	3.1896405	1.4829504	5.661144
chr9	25965000	25970000	chr9	26605000	26610000	0,0,0	4.066541	0.9970962	1.6934699	3.4547486	3.5997493	2.771456	1.545021	5.8423443
chr9	114855000	114860000	chr9	115480000	115485000	0,0,0	2.5252264	0.9868709	1.6901956	1.0051554	1.7363912	3.4398994	0.6692759	4.333371
chr9	77385000	77390000	chr9	77690000	77695000	0,0,0	5.056894	0.99908775	3.1911752	1.5387986	3.2661302	5.6325054	0.75217205	7.0003266
chr9	139060000	139065000	chr9	139135000	139140000	0,0,0	3.7621949	1.0	2.7551973	0.5424433	0.9149914	2.3541498	0.3558816	2.8363214
chr9	112945000	112950000	chr9	113385000	113390000	0,0,0	4.6034393	0.99824816	2.912322	1.5032976	2.891954	5.011484	0.91267836	6.3477483
chr9	13430000	13435000	chr9	14150000	14155000	0,0,0	3.6680737	0.99651134	1.7731334	3.5833006	4.535228	4.6529636	1.5348676	7.83812
chr9	97435000	97440000	chr9	98985000	98990000	0,0,0	2.8653088	0.9957454	1.6354014	1.7351674	2.7945921	3.9179502	1.025107	5.460321
chr9	36870000	36875000	chr9	37325000	37330000	0,0,0	3.0703404	0.9945576	1.5739387	2.4127343	2.7642608	3.0694246	1.2682631	5.2140775
chr9	14150000	14155000	chr9	14205000	14210000	0,0,0	2.3059056	0.9543609	1.4794418	1.1127055	1.1725981	2.098239	0.63881135	3.0873106
chr9	101075000	101080000	chr9	101465000	101470000	0,0,0	3.0496466	0.99604946	2.018952	1.6958462	2.074726	4.027052	0.7297067	5.5344706
chr9	130265000	130270000	chr9	130495000	130500000	0,0,0	2.3298018	0.98341024	1.6269871	1.2609051	1.3017895	2.9785898	0.7214563	4.0993943
chr9	137035000	137040000	chr9	137330000	137335000	0,0,0	8.620612	0.9998819	4.166066	2.1178408	6.2441506	7.1627154	1.2198558	9.04524
chr9	117440000	117445000	chr9	119440000	119445000	0,0,0	3.2348795	0.99535257	1.7175196	2.3542252	2.7600741	3.2793493	1.0547687	5.371994
chr9	102580000	102585000	chr9	103080000	103085000	0,0,0	2.7894633	0.9628245	1.5485692	1.2384214	1.6692992	2.1916277	0.6540673	3.2924469
chr9	89040000	89045000	chr9	90275000	90280000	0,0,0	3.4592247	0.99272627	2.0016935	2.4272046	3.3976219	4.8466625	1.3031546	7.0041776
chr9	74220000	74225000	chr9	74635000	74640000	0,0,0	2.7175813	0.9608413	1.5195659	1.3197297	1.572204	2.0673747	0.759269	3.240468
chr9	100680000	100685000	chr9	101020000	101025000	0,0,0	3.7981951	0.9821592	1.8941702	1.6494727	2.3292718	2.5604854	0.7536324	4.0266833
chr9	134630000	134635000	chr9	135040000	135045000	0,0,0	2.2522404	0.97196966	1.4278058	1.7199683	2.2497962	3.9082499	0.7807413	5.4371104
chr9	77810000	77815000	chr9	78920000	78925000	0,0,0	3.547959	0.9966024	1.9571304	2.79288	4.1157756	5.385387	1.5328395	7.8679476
chr9	32370000	32375000	chr9	32970000	32975000	0,0,0	4.6493597	0.9995307	2.7391763	3.169425	3.3358254	4.8477044	1.6745291	7.6649714
chr9	89095000	89100000	chr9	89485000	89490000	0,0,0	2.0351496	0.9780733	1.4336873	1.1687275	1.1798289	2.7815764	0.82491803	3.8204453
chr9	33395000	33400000	chr9	33715000	33720000	0,0,0	4.8254642	0.996669	1.7894819	3.6695118	3.7736673	2.4432764	1.3881105	5.705065
chr9	71200000	71205000	chr9	71455000	71460000	0,0,0	4.0474935	0.9977565	1.405887	4.107035	4.16742	2.449639	1.5047988	6.1003366
chr9	80660000	80665000	chr9	80720000	80725000	0,0,0	2.0147054	0.9157975	1.5795027	0.5400351	0.5652737	1.9947561	0.23370738	2.4747872
chr9	137035000	137040000	chr9	137220000	137225000	0,0,0	4.3020926	1.0	2.4986386	0.91690433	2.3288038	3.4402876	0.43386155	4.2553134
chr9	112950000	112955000	chr9	114050000	114055000	0,0,0	3.1214092	0.99471045	1.812683	1.7986972	2.5351386	3.6437204	0.66755265	5.242563
chr9	113800000	113805000	chr9	114050000	114055000	0,0,0	2.4657288	0.9758516	1.5193727	1.1279423	1.6692404	2.721307	0.5064029	3.7239225
chr9	21565000	21570000	chr9	21785000	21790000	0,0,0	2.6696358	0.96200407	1.621784	1.1601886	1.4257505	2.2393367	0.690837	3.2706153
chr9	111640000	111645000	chr9	112080000	112085000	0,0,0	2.5416563	0.9737182	1.292638	1.6767837	1.9559836	2.148783	0.7044204	3.6392574
chr9	126160000	126165000	chr9	126795000	126800000	0,0,0	2.742277	0.98875314	1.7698529	1.373744	1.7998652	3.2670255	0.95272785	4.4881315
chr9	92205000	92210000	chr9	93630000	93635000	0,0,0	3.8169224	0.99914724	2.5013978	2.4356859	2.5883036	4.9026737	1.1983104	7.0677285
chr9	87010000	87015000	chr9	87565000	87570000	0,0,0	3.361322	0.9966776	2.0393882	1.8872528	2.5637097	4.030098	0.9772597	5.707656
